name,profile_url,official_website,company_type,primary_sector,sectors,capabilities,capability_ids,markets,regions,value_chain_stages,date_published,last_materially_updated,last_reviewed,evidence_urls
EOG Resources,https://btugraph.com/companies/eog-resources/,https://www.eogresources.com/,Operator,Exploration & production,Exploration & production,Exploration | Horizontal drilling | Well completions | Oil and gas production | Gathering and processing,exploration-appraisal | drilling-well-construction | completions-stimulation | production-operations | gathering-processing,Oil | Natural gas | NGLs,North America | Latin America | Middle East,Upstream,2026-09-04,2026-09-04,2026-09-04,https://www.eogresources.com/documents/EOG_Fact_Sheet_2026.pdf | https://www.eogresources.com/investors/annual2025/2025-annual-report.pdf
ConocoPhillips,https://btugraph.com/companies/conocophillips/,https://www.conocophillips.com/,Operator,Exploration & production,"Exploration & production | LNG & natural gas | Trading, logistics & shipping",Exploration and appraisal | Unconventional development | Oil-sands production | LNG technology | Commodity marketing,exploration-appraisal | development-planning | production-operations | lng-infrastructure | commodity-trading-origination,Oil | Natural gas | LNG | NGLs,North America | Europe | Asia-Pacific | Middle East | Africa,Upstream | Midstream,2026-09-04,2026-09-04,2026-09-04,https://www.conocophillips.com/operations/ | https://static.conocophillips.com/files/resources/2025-conocophillips-annual-report.pdf
Devon Energy,https://btugraph.com/companies/devon-energy/,https://www.devonenergy.com/,Operator,Exploration & production,Exploration & production,Onshore exploration | Drilling and completions | Production optimization | Water management | Field infrastructure,exploration-appraisal | drilling-well-construction | production-optimization | environmental-water-management | field-infrastructure,Oil | Natural gas | NGLs,North America,Upstream,2026-09-04,2026-09-04,2026-09-04,https://www.devonenergy.com/operations | https://www.devonenergy.com/about-us
EQT Corporation,https://btugraph.com/companies/eqt/,https://www.eqt.com/,Operator,Exploration & production,Exploration & production | Midstream & infrastructure | LNG & natural gas,Shale-gas development | Horizontal drilling | Natural-gas production | Gathering infrastructure | Gas transportation,production-operations | drilling-well-construction | production-operations | gathering-processing | pipeline-transportation,Natural gas | NGLs,North America,Upstream | Midstream,2026-09-04,2026-09-04,2026-09-04,https://www.eqt.com/operations/production | https://www.eqt.com/operations/midstream-customers
Kinder Morgan,https://btugraph.com/companies/kinder-morgan/,https://www.kindermorgan.com/,Infrastructure owner,Midstream & infrastructure,"Midstream & infrastructure | LNG & natural gas | Trading, logistics & shipping",Natural-gas pipelines | Energy storage | Products pipelines | Liquids terminals | Bulk logistics,pipeline-transportation | storage-terminals | pipeline-transportation | storage-terminals | physical-logistics,Natural gas | Oil | Refined products | Renewable fuels,North America,Midstream | Downstream,2026-09-04,2026-09-04,2026-09-04,https://ir.kindermorgan.com/home/ | https://www.kindermorgan.com/Operations/Natural-Gas/Index
Williams,https://btugraph.com/companies/williams/,https://www.williams.com/,Infrastructure owner,Midstream & infrastructure,Midstream & infrastructure | LNG & natural gas,Interstate gas transmission | Gathering and processing | Natural-gas storage | NGL infrastructure | Commodity marketing,pipeline-transportation | gathering-processing | storage-terminals | gathering-processing | commodity-trading-origination,Natural gas | NGLs | LNG,North America,Midstream,2026-09-04,2026-09-04,2026-09-04,https://www.williams.com/our-company/ | https://www.williams.com/pipeline/transco/
Enterprise Products Partners,https://btugraph.com/companies/enterprise-products-partners/,https://www.enterpriseproducts.com/,Infrastructure owner,Midstream & infrastructure,"Midstream & infrastructure | Refining, chemicals & fuels | Trading, logistics & shipping",Natural-gas processing | NGL fractionation | Liquids pipelines | Storage and terminals | Petrochemical processing,gathering-processing | refining-petrochemicals | pipeline-transportation | storage-terminals | refining-petrochemicals,Natural gas | NGLs | Oil | Refined products | Petrochemicals,North America | Global,Midstream | Downstream,2026-09-04,2026-09-04,2026-09-04,https://www.enterpriseproducts.com/operations/crude-oil/ | https://ir.enterpriseproducts.com/static-files/e67d1879-0903-4a9c-99de-837e44fb65e6
Cheniere Energy,https://btugraph.com/companies/cheniere-energy/,https://www.cheniere.com/,Infrastructure owner,LNG & natural gas,"LNG & natural gas | Midstream & infrastructure | Trading, logistics & shipping",Natural-gas liquefaction | LNG storage | Marine loading | Gas pipelines | LNG marketing,lng-infrastructure | storage-terminals | marine-shipping-chartering | pipeline-transportation | commodity-trading-origination,LNG | Natural gas,North America | Global,Midstream | Downstream,2026-09-04,2026-09-04,2026-09-04,https://www.cheniere.com/about/where-we-work | https://lngir.cheniere.com/company-information | https://www.sec.gov/Archives/edgar/data/3570/000000357026000005/lng-20251231.htm
Marathon Petroleum,https://btugraph.com/companies/marathon-petroleum/,https://www.marathonpetroleum.com/,Operator,"Refining, chemicals & fuels","Refining, chemicals & fuels | Midstream & infrastructure | Renewables, storage & low carbon",Petroleum refining | Fuel marketing | Renewable diesel | Pipeline and terminal logistics | Midstream processing,refining-petrochemicals | fuel-marketing-supply | renewable-fuels | physical-logistics | gathering-processing,Oil | Refined products | Renewable fuels | Natural gas,North America,Midstream | Downstream,2026-09-04,2026-09-04,2026-09-04,https://www.marathonpetroleum.com/operations/ | https://www.marathonpetroleum.com/content/documents/Investors/Annual_Report/2025_MPC_Annual_Report_and_10K.pdf
Phillips 66,https://btugraph.com/companies/phillips-66/,https://www.phillips66.com/,Operator,"Refining, chemicals & fuels","Refining, chemicals & fuels | Midstream & infrastructure | Trading, logistics & shipping | Renewables, storage & low carbon",Petroleum refining | Midstream logistics | Chemicals production | Renewable fuels | Supply and trading,refining-petrochemicals | physical-logistics | refining-petrochemicals | renewable-fuels | commodity-trading-origination,Oil | Refined products | NGLs | Petrochemicals | Renewable fuels,North America | Europe | Global,Midstream | Downstream,2026-09-04,2026-09-04,2026-09-04,https://www.phillips66.com/refining/ | https://www.phillips66.com/commercial/
Valero Energy,https://btugraph.com/companies/valero-energy/,https://www.valero.com/,Operator,"Refining, chemicals & fuels","Refining, chemicals & fuels | Renewables, storage & low carbon",Petroleum refining | Ethanol production | Renewable diesel | Sustainable aviation fuel | Fuel logistics,refining-petrochemicals | renewable-fuels | renewable-fuels | renewable-fuels | physical-logistics,Oil | Refined products | Renewable fuels,North America | Europe,Downstream,2026-09-04,2026-09-04,2026-09-04,https://www.valero.com/refining | https://www.valero.com/renewables
NextEra Energy,https://btugraph.com/companies/nextera-energy/,https://www.nexteraenergy.com/,Operator,"Power, utilities & grid","Power, utilities & grid | Renewables, storage & low carbon",Electric generation | Transmission and distribution | Wind and solar development | Battery storage | Utility operations,power-generation | grid-utility-operations | renewable-generation | battery-energy-storage | grid-utility-operations,Power | Renewables | Energy storage | Natural gas | Nuclear,North America,Power,2026-09-04,2026-09-04,2026-09-04,https://www.investor.nexteraenergy.com/company-overview | https://www.investor.nexteraenergy.com/~/media/Files/N/NEE-IR/2025%20Annual%20Report.pdf
Constellation Energy,https://btugraph.com/companies/constellation-energy/,https://www.constellationenergy.com/,Operator,"Power, utilities & grid","Power, utilities & grid | Renewables, storage & low carbon | Trading, logistics & shipping",Nuclear generation | Wholesale power | Competitive retail supply | Power purchase agreements | Renewable generation,power-generation | power-market-retail | power-market-retail | power-market-retail | renewable-generation,Power | Nuclear | Natural gas | Renewables,North America,Power,2026-09-04,2026-09-04,2026-09-04,https://investors.constellationenergy.com/ | https://investors.constellationenergy.com/sec-filings/sec-filing/10-k/0001868275-26-000032
Duke Energy,https://btugraph.com/companies/duke-energy/,https://www.duke-energy.com/,Operator,"Power, utilities & grid","Power, utilities & grid | Renewables, storage & low carbon",Electric generation | Transmission and distribution | Natural-gas distribution | Grid modernization | Battery storage,power-generation | grid-utility-operations | natural-gas-distribution | grid-utility-operations | battery-energy-storage,Power | Natural gas | Nuclear | Renewables,North America,Power,2026-09-04,2026-09-04,2026-09-04,https://www.duke-energy.com/our-company/about-us?id=24402 | https://investors.duke-energy.com/financials/annual-reports/default.aspx
SLB,https://btugraph.com/companies/slb/,https://www.slb.com/,Service provider,Field services & equipment,"Field services & equipment | Energy AI & analytics | Renewables, storage & low carbon | LNG & natural gas",Reservoir characterization | Well construction | Production systems | Industrial AI | Carbon and new-energy technology,subsurface-characterization | drilling-well-construction | production-operations | artificial-intelligence | low-carbon-technologies,Oil | Natural gas | LNG | Carbon management | Geothermal,Global,Upstream | Midstream | Cross-system,2026-09-04,2026-09-04,2026-09-04,https://www.slb.com/products-and-services | https://www.slb.com/about/who-we-are
Halliburton,https://btugraph.com/companies/halliburton/,https://www.halliburton.com/,Service provider,Field services & equipment,Field services & equipment | Energy software | Energy AI & analytics,Formation evaluation | Drilling and cementing | Hydraulic stimulation | Completions and lift | Intervention and abandonment,subsurface-characterization | drilling-well-construction | completions-stimulation | production-optimization | well-intervention-decommissioning,Oil | Natural gas,Global,Upstream,2026-09-04,2026-09-04,2026-09-04,https://www.halliburton.com/en/about-us | https://www.halliburton.com/en/about-us/press-release/halliburton-announces-fourth-quarter-2025-results
Baker Hughes,https://btugraph.com/companies/baker-hughes/,https://www.bakerhughes.com/,Technology company,Field services & equipment,"Field services & equipment | LNG & natural gas | Energy AI & analytics | Renewables, storage & low carbon",Oilfield services | Subsea systems | LNG turbomachinery | Industrial controls | Lower-carbon technology,field-services | subsea-systems | lng-infrastructure | automation-controls-robotics | low-carbon-technologies,Oil | Natural gas | LNG | Power | Carbon management,Global,Upstream | Midstream | Power | Cross-system,2026-09-04,2026-09-04,2026-09-04,https://www.bakerhughes.com/company/about-us | https://www.bakerhughes.com/company/digital-annual-report
Vitol,https://btugraph.com/companies/vitol/,https://www.vitol.com/,Trading company,"Trading, logistics & shipping","Trading, logistics & shipping | LNG & natural gas | Refining, chemicals & fuels | Power, utilities & grid",Physical energy trading | Shipping and logistics | Storage | Refining | Power and infrastructure investment,commodity-trading-origination | physical-logistics | storage-terminals | refining-petrochemicals | structured-finance-investment,Oil | Refined products | Natural gas | LNG | Power | Renewable fuels,Global,Midstream | Downstream | Power | Cross-system,2026-09-04,2026-09-04,2026-09-04,https://www.vitol.com/about/ | https://www.vitol.com/vitol-2025-volumes-and-review/ | https://ec.europa.eu/competition/mergers/cases/decisions/m7649_216_3.pdf
Trafigura,https://btugraph.com/companies/trafigura/,https://www.trafigura.com/,Trading company,"Trading, logistics & shipping","Trading, logistics & shipping | LNG & natural gas | Renewables, storage & low carbon",Commodity origination | Physical trading | Storage and blending | Shipping and chartering | Logistics infrastructure,commodity-trading-origination | commodity-trading-origination | inventory-blending | marine-shipping-chartering | physical-logistics,Oil | Refined products | Natural gas | LNG | Power | Metals,Global,Midstream | Downstream | Power | Cross-system,2026-09-04,2026-09-04,2026-09-04,https://www.trafigura.com/what-we-do/ | https://www.trafigura.com/news-and-insights/publications/financials/2025/2025-trafigura-annual-report/
Mercuria,https://btugraph.com/companies/mercuria/,https://mercuria.com/,Trading company,"Trading, logistics & shipping","Trading, logistics & shipping | Renewables, storage & low carbon",Physical commodity trading | Financial trading | Shipping and storage | Structured finance | Infrastructure investment,commodity-trading-origination | commodity-trading-origination | marine-shipping-chartering | structured-finance-investment | structured-finance-investment,Oil | Refined products | Natural gas | Power | Environmental products,Global,Midstream | Downstream | Power | Cross-system,2026-09-04,2026-09-04,2026-09-04,https://mercuria.com/what-we-do/trading/ | https://mercuria.com/what-we-do/our-regions/north-america/ | https://fidectus.com/en/resources/mercuria-goes-live-with-fidectus-confirmation-hub
Ambyint,https://btugraph.com/companies/ambyint/,https://www.ambyint.com/,Technology company,Energy AI & analytics,Energy AI & analytics | Field services & equipment | Energy software,Rod-lift optimization | Plunger-lift optimization | ESP optimization | Anomaly detection | Autonomous setpoint control,production-optimization | production-optimization | production-optimization | analytics-monitoring | automation-controls-robotics,Oil | Natural gas,North America,Upstream,2026-09-04,2026-09-04,2026-09-04,https://www.ambyint.com/ | https://www.amii.ca/updates-insights/amii-ambyint-partnership
